,fav_recovery,fav_recovery,fav_recovery,fav_stress,fav_stress,fav_stress,pval.stress,padj.sterss
isogroupisogroup100297,-1.85901634904982,-1.73772917038182,-1.82976267050218,-1.82077681093889,-1.60151197235838,-1.73629451744491,0.639294959599623,NA
isogroupisogroup100312,0.00323890185940202,0.235154573419852,0.121548064750129,0.156354577573711,-0.220083919994357,-0.159527493973268,0.677668471950639,NA
isogroupisogroup100314,0,0,0,0,0,0,NA,NA
isogroupisogroup100343,1.0128515751699,0.8261994269638,1.08370039459563,0.719401323789933,0.354835231921542,0.398932653100731,0.394165129753302,NA
isogroupisogroup100354,0.764199363001031,0.714893640375229,0.578937159077987,0.615743624661744,0.610697727658727,0.29357287888222,0.727709820518434,NA
isogroupisogroup100357,-1.42386373212595,-1.33448388912895,-1.15720014855399,-1.41101990776633,-1.35953519545288,-1.33316172484853,0.968879185474391,NA
isogroupisogroup100376,-1.42619218266956,-1.50806509655876,-1.56767539179352,-1.56185523129973,-1.52567135785367,-1.50713586877739,0.871855665695249,NA
isogroupisogroup10039,1.80440391809874,2.07168732436803,2.41297958652605,2.41392121022753,2.11760675824775,1.34531838559842,0.782792655350353,NA
isogroupisogroup100393,0.809528948471436,0.110085133515532,-0.0257704895325909,0.262553283186329,1.19393723636851,0.114545945144207,0.620833412186881,NA
isogroupisogroup100408,-1.79322272649007,-1.72934719906298,-1.78079914759763,-1.68442575536116,-1.74454384330817,-1.72854514666924,0.617943351983417,NA
isogroupisogroup100415,-0.447148005729689,-0.635718480795685,-0.7418767972583,-0.222543856861292,-0.684543676878146,-0.633141572054475,0.846614445057113,NA
isogroupisogroup100419,3.37063526015449,3.23911832325305,4.09329621340818,3.71388739253182,3.80898604277669,4.39010757644058,0.476315083327939,0.995310922565357
isogroupisogroup100429,-0.946582315680736,-0.782919571404031,-0.913940213678548,-0.666482962857632,-0.228110142885401,-0.780145528274944,0.44022986743286,NA
isogroupisogroup100447,-2.06649683204835,-2.05786899377534,-2.07114094451673,-2.06984511326684,-2.0617889447121,-2.05766210559783,0.950364589871075,NA
isogroupisogroup100459,0,0,0,0,0,0,NA,NA
isogroupisogroup100468,0.13670723437291,-0.24211118936621,-0.367182739061129,0.635633791882846,-0.309168851913639,-0.23845355017073,0.807294524589392,NA
isogroupisogroup100479,0.0635396730517674,-0.0460357335652794,-0.31441426284552,-0.531670713975769,-0.477748112687308,-0.412923460039388,0.480754967969686,NA
isogroupisogroup100505,1.04217240085323,0.732314511089977,1.61160042834357,1.58011094274356,1.32350734405933,0.735283795770991,0.756523837086269,NA
isogroupisogroup100515,0.749206826837926,0.381926092906913,0.737175174584155,0.12930546673762,0.299896845799853,2.85733099703013,0.970253947170566,NA
isogroupisogroup10053,0.462989094503867,1.75055048805616,-0.0422042552814669,0.546127186705959,0.0819741597730709,0.143263235858659,0.761440150003288,NA
isogroupisogroup100532,1.22512767316331,0.557135621821505,0.829182499949229,1.29411867078241,1.14639568790455,0.559680802471065,0.869475034046312,NA
isogroupisogroup10054,-0.590881825060087,-0.862794904599673,-0.958164104547854,-0.775451691809125,-0.901321978796494,-0.860761512780757,0.998644909761338,NA
isogroupisogroup100561,-0.811436150803979,-0.989712173229061,-1.09773582128648,-1.0953031720594,-0.784795376826428,-0.987553969360179,0.929162809304956,NA
isogroupisogroup10057,5.89882642480559,6.6030022068771,6.14571768992567,5.33578314473109,5.04010085227303,4.9736939381885,0.0199434062590269,0.51359873197404
isogroupisogroup100571,0,0,0,0,0,0,NA,NA
isogroupisogroup100576,-2.06649683204835,-2.05786899377534,-2.07114094451673,-2.06984511326684,-2.0617889447121,-2.05766210559783,0.950364589871075,NA
isogroupisogroup100578,2.68721249002422,3.35141400207711,3.18547646129321,2.65968887402809,2.23783591611248,1.71292983998458,0.159490894922045,NA
isogroupisogroup10058,-0.598099962824933,-0.575476653534451,-0.723529049248585,-0.440310478694393,-0.640096597892925,0.198193875496571,0.621518804876111,NA
isogroupisogroup100588,-2.06649683204835,-2.05786899377534,-2.07114094451673,-2.06984511326684,-2.0617889447121,-2.05766210559783,0.950364589871075,NA
isogroupisogroup100589,-0.0282149148492668,-0.218542700286344,1.0342298978723,-0.357620083812683,-0.291504653024495,-0.214482363111578,0.46439447817275,NA
isogroupisogroup100591,0,0,0,0,0,0,NA,NA
isogroupisogroup100596,-1.79322272649007,-1.72934719906298,-1.78079914759763,-1.68442575536116,-1.74454384330817,-1.72854514666924,0.617943351983417,NA
isogroupisogroup100609,-1.50303878901951,-0.591027347927681,-1.45337314783898,-1.43710182499109,-1.32177609909197,-1.26269954014358,0.953130583711587,NA
isogroupisogroup10061,-0.443049684048701,-0.247574569145265,0.0632993297410784,-0.107527604493081,0.600817794814917,-0.243785001529334,0.456189954382319,NA
isogroupisogroup100613,0,0,0,0,0,0,NA,NA
isogroupisogroup100636,-0.981308788199528,-0.97098231562745,-1.08271851931213,-0.873879814392953,-0.763753912064275,-0.968799765684431,0.695438602939559,NA
isogroupisogroup10065,0.243133808329458,2.36890704973184,0.495834566177216,0.79487454407123,0.799537091134307,0.411352834305515,0.744161963430672,NA
isogroupisogroup100658,0.634836002696069,0.373024440836275,0.833710805385419,0.71168099878446,1.41033093767363,0.375516174890228,0.849817221782524,NA
isogroupisogroup100664,-1.24866971714364,-1.29323359384691,-1.40529248166077,-1.39859771622475,-1.12041224183456,-1.29141342235737,0.909441074464396,NA
isogroupisogroup100681,-1.24866971714364,-1.29323359384691,-1.40529248166077,-1.39859771622475,-1.12041224183456,-1.29141342235737,0.909441074464396,NA
isogroupisogroup1007,-0.940776487650587,-1.07751789275364,-1.1874037516389,-1.1850919706637,-0.882851110029578,-1.07546764303769,0.924672867493352,NA
isogroupisogroup10070,2.70650690677591,2.01162122523379,2.77651185263019,2.23888335401186,2.83420085686608,2.01965673107873,0.801787744896995,NA
isogroupisogroup100748,0.662787460792719,0.206533190865103,0.747648984806477,0.521339737408695,0.513762339841215,0.208231299984662,0.863673912067647,NA
isogroupisogroup100755,-0.467505065479165,-0.56739980462482,-0.676715133442236,-0.284759238923623,-0.307765918473906,-0.564638292579058,0.694769417357376,NA
isogroupisogroup100762,0,0,0,0,0,0,NA,NA
isogroupisogroup10079,4.62053758288725,6.25697156042747,5.47238689335562,5.13404953166395,4.97898999483999,4.27596118219633,0.222772900498601,0.995310922565357
isogroupisogroup100819,0,0,0,0,0,0,NA,NA
isogroupisogroup100825,0,0,0,0,0,0,NA,NA
isogroupisogroup100839,1.18599168460965,1.49683275006251,1.52965188485745,1.48298395247199,0.685272522540686,0.744792127697434,0.350222860074994,NA
isogroupisogroup100854,3.50027036774022,2.39137825808357,4.57458811173925,4.10705393536401,3.86844610245834,5.09275979862977,0.117482713465298,0.952802201558282
isogroupisogroup100860,0,0,0,0,0,0,NA,NA
isogroupisogroup10087,-0.152620184456164,0.486618546630106,-0.157483133311466,-0.132085087180287,-0.340279862844771,-0.266254419869607,0.606315625576973,NA
isogroupisogroup10088,-0.996143095344644,-0.697019587800057,-1.11517923667928,-0.869723546146751,-1.03008599113421,-0.980073726142553,0.982264947344683,NA
isogroupisogroup100898,-1.42102915625244,-1.41262593469445,-1.54728215479888,-1.534569445169,-1.45253974638078,-1.1705901865289,0.903808143564972,NA
isogroupisogroup100902,-1.87817109684563,-1.87821838813866,-1.90403160528056,-1.90151128448639,-1.88584247797201,-1.87781600196694,0.975296330132569,NA
isogroupisogroup100920,-1.17281976178734,-1.05115903672409,-1.15694937130616,-0.663672709014353,-1.08854392693669,-1.0491859273849,0.582331536852639,NA
isogroupisogroup100922,-0.0582283035402857,1.61282245284483,-0.28484183951813,-0.268230678169234,-0.157689906835486,0.464991330673269,0.551328783455392,NA
isogroupisogroup100929,-1.78593772455039,-1.72844752674464,-1.69229194460867,-1.77052107871656,-1.74221878709172,-1.72772070362844,0.954303323101556,NA
isogroupisogroup100935,-1.4225635466271,-1.41572281340197,-1.52461250262215,-1.51398085812376,-1.25455706028144,-1.41402539982719,0.867795604342194,NA
isogroupisogroup100939,-1.59545323911901,-1.55845944460416,-1.62046308618052,-1.50432557458163,-1.576772595219,-1.55749290843667,0.78372823218458,NA
isogroupisogroup100940,2.26555759075814,2.35822626655106,1.86062627814576,2.16653330664932,2.49951830573845,1.38465716845766,0.673411348205526,NA
isogroupisogroup100995,-1.42619218266956,-1.50806509655876,-1.56767539179352,-1.56185523129973,-1.52567135785367,-1.50713586877739,0.871855665695249,NA
isogroupisogroup1010,0,0,0,0,0,0,NA,NA
isogroupisogroup101030,-2.06649683204835,-2.05786899377534,-2.07114094451673,-2.06984511326684,-2.0617889447121,-2.05766210559783,0.950364589871075,NA
isogroupisogroup101037,-0.505869998524485,-0.55539775899669,-0.677217733396797,-0.436759500846591,-0.00534468581741848,-0.552390470439707,0.660882829125382,NA
isogroupisogroup10105,-1.59215287578482,-1.55813371273504,-1.51360809101993,-1.6099473179556,-1.57509302835188,-1.55723862961885,0.891741149964473,NA
isogroupisogroup101052,-2.06649683204835,-2.05786899377534,-2.07114094451673,-2.06984511326684,-2.0617889447121,-2.05766210559783,0.950364589871075,NA
isogroupisogroup101054,-1.24866971714364,-1.29323359384691,-1.40529248166077,-1.39859771622475,-1.12041224183456,-1.29141342235737,0.909441074464396,NA
isogroupisogroup101066,1.3992837445589,1.32909766797245,1.85333002781754,1.18417138394932,1.7035232896735,0.904889547432707,0.609408034304571,NA
isogroupisogroup101071,-0.505869998524485,-0.55539775899669,-0.677217733396797,-0.436759500846591,-0.00534468581741848,-0.552390470439707,0.660882829125382,NA
isogroupisogroup101073,3.03724869643102,1.7786062997262,3.05998178170261,2.79410342922828,3.23702899855662,2.49837530310935,0.731545364669961,NA
isogroupisogroup101074,3.00145447952685,2.15562770473612,2.61289932270533,2.07444405663004,2.68995974380692,3.74593659487106,0.686710854576869,NA
isogroupisogroup101083,0,0,0,0,0,0,NA,NA
isogroupisogroup1011,2.64838539183818,2.05493320761865,2.20865813104184,2.84039200363487,2.17597631929035,3.15306656448706,0.494348886657826,NA
isogroupisogroup10110,0.879837031220924,0.340075225478164,0.202163239805252,0.680716621711978,1.18899760186467,0.79583016899833,0.357859495768466,NA
isogroupisogroup101101,-1.61849581376843,-1.55661410246929,-1.65726851003532,-1.64744093236381,-1.40763724785197,-1.55504506357325,0.794692003226723,NA
isogroupisogroup101108,-2.06649683204835,-2.05786899377534,-2.07114094451673,-2.06984511326684,-2.0617889447121,-2.05766210559783,0.950364589871075,NA
isogroupisogroup10111,-1.13668104445533,-1.20492170182103,-1.28593978560418,-1.134099821767,-1.23170563248937,-1.20350809264788,0.919460465590642,NA
