gene,pval
isogroupisogroup124381,0.33346470351555
isogroupisogroup12446,0.17482758034567
isogroupisogroup124706,-0.396971212495559
isogroupisogroup12487,0.263704917852686
isogroupisogroup12497,-0.0432139767201686
isogroupisogroup125023,0.233168570655633
isogroupisogroup125152,-0.138107005952105
isogroupisogroup12525,1.23441164808875
isogroupisogroup12559,0.352610484445264
isogroupisogroup125610,1.08050328497343
isogroupisogroup12597,0.370372544562218
isogroupisogroup12599,-4.46997331756111
isogroupisogroup12657,-0.484606427442804
isogroupisogroup12663,1.31305087748434
isogroupisogroup126754,4.15874831045083
isogroupisogroup12679,0.733464656867688
isogroupisogroup12714,-0.387499173157729
isogroupisogroup127267,-0.299791362023002
isogroupisogroup12748,-0.0782834275058997
isogroupisogroup127766,-0.289732392146925
isogroupisogroup127984,-2.47501680971124
isogroupisogroup12802,-0.410322525288408
isogroupisogroup128211,-0.441829530001277
isogroupisogroup12831,-0.509781254512071
isogroupisogroup1284,-0.223937084470583
isogroupisogroup128440,-0.311545592669491
isogroupisogroup12867,-0.545682161413064
isogroupisogroup128730,-0.229597956734402
isogroupisogroup12882,-0.799550345497269
isogroupisogroup12916,1.05422956360924
isogroupisogroup12956,0.300404661128347
isogroupisogroup12997,-0.588660063386717
isogroupisogroup130039,-0.699070286244805
isogroupisogroup130042,-2.96047212815203
isogroupisogroup13023,1.5126462488113
isogroupisogroup13029,1.9433980499101
isogroupisogroup130707,-0.174081828565847
isogroupisogroup13123,-0.283712257169768
isogroupisogroup131473,-0.962235929774994
isogroupisogroup131675,1.09355845836016
isogroupisogroup13195,5.08732148117856
isogroupisogroup1320,1.33834554664144
isogroupisogroup13200,-0.111022403985655
isogroupisogroup13206,0.347256058798404
isogroupisogroup13223,-0.0647290666178925
isogroupisogroup13255,-0.498523134358262
isogroupisogroup13271,-0.665121283357696
isogroupisogroup13287,-0.142299322572144
isogroupisogroup13328,0.167360598773969
isogroupisogroup13335,0.00968332566026317
isogroupisogroup133418,0.656030878446569
